instance_name,hat_t_2
tai40a,281.66
tai50a,1460.44
tai60a,2347.14
tai80a,2288.02
tai100a,1533.46
tai50b,41.73
tai60b,180.82
tai80b,1088.38
tai100b,472.9
tai150b,2715.72
sko100a,775.42
sko100b,226.02
sko100c,417.27
sko100d,726.74
sko100e,413.79
sko100f,799.77
