Intel(R) Xeon(R) CPU @ 2.20GHz,1383,16820510206,4946333489,11020035320,190994213612
Intel(R) Core(TM)2 Duo CPU P9600 @ 2.53GHz,1075,14425707405,8089773011,19487979698,242033525306
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,1779,16739046076,4039880300,9933583297,174227488614
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,1840,14962796533,4313271563,9814478551,163595428633
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1511,17155133067,4920164952,11739630797,207123919828
